Dewey,Author,Title,Subtitle,ISBN,Width
001,"Alberto Cairo","How Charts Lie","Getting Smarter about Visual Information",9780393358421,20
001,"Harry Collins","Tacit and Explicit Knowledge",,9780226004211,150
001.42,"Martin W. Bauer | George Gaskell","Qualitative researching with text, image and sound","A practical handbook",9780761964810,171
001.42,"Wayne C. Booth | Gregory G. Colomb | Joseph M. Williams","The Craft Of Research, Third Edition",,9780226065663,137
003,"Nassim Nicholas Taleb","Statistical Consequences of Fat Tails","Real World Preasymptotics, Epistemology, and Applications",9781544508054,25
003.54,"Nassim Nicholas Taleb","The Black Swan: the impact of the highly improbable",,9780812973815,131
004.62,"W. Richard Stevens","TCP/IP illustrated","The Protocols (Addison-Wesley Professional Computing Series)",9780201633467,193
004.6780112,"Jonathan L. Zittrain","The future of the internet--and how to stop it",,9780300151244,156
005,"Stephen Marsland","Introduction to Machine Learning","an algorithmic perspective",9781420067187,155
005.1,"Chaminda Chandrasekara | Pushpa Herath","Hands-on GitHub Actions: Implement CI/CD with GitHub Action Workflows for Your Applications",,9781484264638,0
005.1,"Robert C. Martin","Clean Code","A Handbook of Agile Software Craftsmanship (Robert C. Martin Series)",9780132350884,175
005.1170,"Erich Gamma | Richard Helm | Ralph Johnson | John M. Vlissides | Grady Booch","Design Patterns","Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series)",9780201633610,188
005.1300,"Thomas H. Cormen | Charles E. Leiserson | Ronald L. Rivest | Clifford Stein","Introduction to Algorithms",,9788120321410,0
005.133,"David Beazley | Brian Jones","Python Cookbook, Third Edition","Recipes for Mastering Python 3",9781449340377,178
005.133,"Mark Lutz","Learning Python","Powerful Object-Oriented Programming",9781449355739,183
005.133,"Harry Percival","Architecture Patterns With Python: Enabling Test-driven Development, Domain-driven Design, And Event-driven Microservices","enabling test-driven development, domain-driven design, and event-driven microservices",9781492052203,13
005.133,"Luciano Ramalho","Fluent Python","Clear, Concise, and Effective Programming",9781491946008,178
005.133,"Al Sweigart","Automate The Boring Stuff With Python","Practical Programming For Total Beginners",9781593279929,178
005.133,"Gennadiy Zlobin","Learning Python Design Patterns",,9789351104117,0
005.3,"Yu-Kai Chou","Actionable Gamification","Beyond Points, Badges and Leaderboards",9781511744041,0
005.7300,"Christof Paar | Jan Pelzl","Understanding Cryptography","A textbook for students and practitioners",9783642041006,166
005.7422,"Charu C. Aggarwal | Philip S. Yu","Privacy-Preserving Data Mining",,9781441943712,0
005.758,"Andreas M. Antonopoulos","Mastering Ethereum: Building Smart Contracts And Dapps","building smart contracts and DApps",9781491971949,0
005.8,"Ross Anderson","SECURITY ENGINEERING, 2ND ED",,9788126516674,0
005.8,"Balaji Raghunathan","The complete book of data anonymization","from planning to implementation",9781439877302,0
005.8,"Justin Seitz","Black Hat Python, 2nd Edition","Python Programming for Hackers and Pentesters",9781718501126,1
006,"William R. Sherman | Alan B. Craig","Understanding Virtual Reality",,9788131216965,0
006.3,"Stuart Jonathan Russell | Peter Norvig","Artificial Intelligence: A Modern Approach",,9788129700414,0
006.3/1,"Ian Goodfellow | Yoshua Bengio | Aaron Courville","Deep Learning",,9780262035613,185
006.31,"Andriy Burkov","The Hundred-page Machine Learning Book",,9781999579500,0
006.31,"Valliappa Lakshmanan","Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps","solutions to common challenges in data preparation, model building, and MLOps",9781098115784,21
006.76,"Toby Segaran","Programming Collective Intelligence","Building Smart Web 2.0 Applications",9780596529321,174
016.912/5493,,"An inventory of Sri Lanka maps in the General State Archives in the Netherlands",,,0
031.0222,"David McCandless","Beautiful news",,9780007448371,22
"032.02	","Delayed Gratification","An Answer for Everything: 200 Infographics to Explain the World",,9781526633644,30
032.02,"David McCandless","Information Is Beautiful",,9780007492893,195
082,"Oxford University","The Oxford Dictionary Of Quotations",,9780198601739,181
082.03,"David Crystal","Penguin Pocket Dictionary of Quotations",,9780141021126,114
100,"Nalin de Silva","Batahira Vidyava, Arsenic saha Deviyo",,9789550955091,0
100,"Nalin de Silva","Mage Lokaya",,9789551741914,0
101,"Alain de Botton","The Consolations of Philosophy",,9780679779179,132
101,"Mel Thompson","Philosophy of Science (Teach Yourself Educational)",,9780340867587,0
110,"Bertrand Russell","The Problems of Philosophy",,9781781390474,0
111.85,"Edmund Burke","A Philosophical Enquiry Into the Origin of our Ideas of the Sublime and Beautiful (Routledge Classics)",,9780415453264,130
111.8500,"Roger Scruton",Beauty,"a very short introduction",9780199559527,175
123,"Friedrich Nietzsche","Thus Spoke Zarathustra (Barnes & Noble Classics Series)",,9781593082789,130
123.3,"Nassim Nicholas Taleb","Fooled By Randomness","The Hidden Role Of Chance In Life And In The Markets",9780812975215,132
149,"Bertrand Russell","The Analysis of Mind",,9781596050648,0
149.73,"Bertrand Russell","Sceptical Essays (Routledge Classics)",,9780415325080,128
150.1954,"C.G. Jung","Modern Man in Search of a Soul (Routledge Classics) (Routledge Classics)",,9780415253901,130
152.4,"The School of Life","The School of Life",,9780241985830,23
152.41,"Erich Fromm","The Art of Loving",,9780061129735,132
153.35,"Claire Burge",Spin,"taking your creativity to the nth degree",9780989854214,0
153.4,"Jocelyn K. Glei","Manage Your Day-To-Day","Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind",9781477800676,25
153.4/3,"Brian Christian | Tom Griffiths","Algorithms to Live By","The Computer Science of Human Decisions",9781250118363,0
153.4199,"Daniel Kahneman","Thinking, Fast And Slow","focusing on student thinking in secondary science",9780141033570,129
153.42,"Rolf Dobelli","The Art of Thinking Clearly: Better Thinking, Better Decisions",,9781444759563,0
153.83,"Daniel Kahneman | Oliver Sibony | Cass R. Sunstein",Noise,,9780008308995,42
153.8520285,"B.J. Fogg","Persuasive Technology","Using Computers to Change What We Think and Do (Interactive Technologies)",9781558606432,203
155.2/4,"Nassim Nicholas Taleb",Antifragile,"things that gain from disorder",9780812979688,127
155.2000,"Edward De Bono","How To Have A Beautiful Mind",,9780091894603,132
155.232,"Martin E. Seligman","Learned Optimism","How to Change Your Mind and Your Life",9781400078394,132
155.4133,"Peter Hobson","The cradle of thought",,9780330488280,130
158,"Robert Greene | Joost Ellfers | Joost Elffers","The 48 Laws of Power (A Joost Elffers Production)","the Nixon and Ford administrations",9781861972781,164
158.1,"Dale Carnegie","How to Win Friends & Influence People",,9780671723651,104
158.1,"Héctor García | Fracesc Miralles",Ikigai,"The Japanese Secret to a Long and Happy Life",9781786330895,136
158.1,"Eric Jorgenson","The Almanack of Naval Ravikant: A Guide to Wealth and Happiness",,9781544514215,15
158.1,"Mark Manson","The Subtle Art of Not Giving a F*ck","A Counterintuitive Approach to Living a Good Life",9780062641540,140
158.1,"Robin Sharma","The Greatness Guide: The 10 Best Lessons Life Has Taught Me",,9788179925768,0
181.06,"Moses Maimonides","The Guide of the Perplexed","and, Proslogion : with the replies of Gaunilo and Anselm",9780872203242,132
187,Epicurus,"Being Happy",,9780241473269,0
188,"Lucius Seneca","Letters from a Stoic: Complete (Letters 1 - 124) Adapted for the Contemporary Reader",,9781521271896,44
190.9000,"Bertrand Russell","A History of Western Philosophy; And its Connection with Political and Social Circumstances from the Earliest Times to the Present Day",,9780415078542,203
192,"John Eidinow | David Edmonds","Wittgenstein's Poker",,9780571227358,126
192,"Bertrand Russell","Unpopular Essays",,9780415473705,127
192,"Ludwig Wittgenstein","Tractatus Logico Philosophicus (Routledge Classics)",,9780415254083,130
193,"Friedrich Nietzsche","Beyond good and evil : prelude to a philosophy of the future",,9780585110875,0
193,"Arthur Schopenhauer","Essays and Aphorisms (The Penguin Classics)",,9780140442274,127
201/.65,"Duncan Pritchard","Philosophy, science, and religion for everyone",,9781138234215,159
204.36,Sadhguru,"INNER ENGINEERING",,9780143428848,22
211,"Armand M. Nicholi","The Question Of God","C.S. Lewis And Sigmund Freud Debate God, Love, Sex, And The Meaning Of Life",9780743247856,142
220.5205,"Donald Senior | John J. Collins","The Catholic Study Bible",,9780195282788,157
230,"C.S. Lewis","Mere Christianity","A Revised and Amplified Edition",9780060652920,135
242,"Thomas A. Kempis","The Imitation of Christ",,9780840757609,130
291.4400,"Eckhart Tolle","The Power Of Now Aguide Spiritual Enlightenment",,9788190105910,157
294,"Balangoda Anandamaitreya","Pali Made Easy",,9789559219767,0
294,"Benny Liow","K. Sri Dhammananda felicitation : essays in honour of his 80th birthday",,9839748033,0
294,"Ajahn Dune Atulo","Gifts he left behind",,,0
294,"Bhikkhu K. Nanananda","Nibbana - The Mind Stilled",,,0
294,"Ven. Kukulpane Sudassi","Gihi Sapaya",,9786249523814,0
294,"Bhikkhu Nanamoli","Thinker’s Notebook",,9789552403125,0
294,"Mahasi Sayadaw","PRACTICAL INSIGHT MEDITATIONS Basic and Progressive Stages","Basic and Progressive Stages",9789552400896,0
294,"Gautam Sen","The Mind of Swami Vivekananda",,9788172242121,13
294,"K. Sri Dhammananda | Corporate Body of the Buddha Educational Foundation","Daily Buddhist Devotions",,9789679920543,0
294,"Nyanaponika Thera","Kamma and Its Fruit: Selected Essays",,9789552402241,0
294.3,"Bhikkhu Bodhi","Investigating the Dhamma","a collection of papers",9789552404160,0
294.3/422,"Ajahn Chah","Everything Arises, Everything Falls Away","teachings on impermanence and the end of suffering",9781590302170,150
294.3/423,"Lama Yeshe | Thubten Yeshe","Life, Death and After Death",,9781891868252,0
294.3/4435,"Gunaratana Henepola","The four foundations of mindfulness in plain English",,9781614290384,15
294.3/4435,"Mahasi Sayadaw","Mindfulness and Insight","the Mahasi method",9781614295372,152
294.3/444,"Ajahn Brahm","The Art of Disappearing","the Buddha's path to lasting joy",9780861716685,152
294.34,"Ajahn Chah","Food For The Heart","The Collected Teachings Of Ajahn Chah",9780861713233,147
294.34,"Thubten Chodron Dalai Lama X1V",Buddhism,"One Teacher, Many Traditions",9781614293927,152
294.342,"Bhante Henepola Gunaratana","Mindfulness in Plain English","(Revised and Expanded Edition)",9780861719990,0
294.342,"Mahathera Narada","The Mirror of the Dhamma",,9789552402470,0
294.34435,"Bhikkhu Analayo",Satipatthana,,9789552403422,0
294.34435,"Ajahn Brahm","Mindfulness, Bliss, and Beyond","A Meditator's Handbook",9780861712755,152
294.34435,"Ajahn Chah",Meditation,"a collection of talks on cultivating the mind",9789552400944,0
294.34435,"Ajahn Chah","On meditation","instructions from talks",9780956811363,0
294.34435,Nyanaponika,"The heart of Buddhist meditation","a handbook of mental training based on the Buddha's way of mindfulness : with an anthology of relevant texts translated from the Pāli and Sanskrit",9789552401008,0
294.3444,"Ajahn Brahm","Good? Bad? Who knows?",,9789557655017,0
294.35,"Mahathera Narada","Eight Worldly Conditions",,9789555582346,0
294.3630,"Bhikkhu Anoma Mahinda","The Blueprint of Happiness: An Outline of the Buddha's Teaching",,9789679920093,0
294.382325,"Obeyesekere, Ranjini","The revered book of five hundred & fifty Jātaka stories",,9789552124334,0
294.3824,"Anuruddha | Bodhi | Nārada | Revatadhamma | U. Nanda","A comprehensive manual of Abhidhamma","The Abhidhammattha Sangaha of Ācariya Anuruddha",9789552401039,0
294.513,"Tennakon Nandana","Ravana, king of Lanka",,9789556651881,0
296.120521,"Norman Solomon","The Talmud: A Selection (Penguin Classics)",,9780141441788,131
297,,"Singhalese Quran - Translator: Al Asheik Zafrulla Bahji Et Al.",,9789386589163,0
299.514,"Benjamin Hoff","The Tao of pooh","The principles of Taoism demonstrated by Winnie-the-Pooh",9781405293785,14
299.51482,"Lao Tzu","Tao Te Ching (Penguin Great Ideas)","on the art of harmony: the new illustrated edition of the Chinese philosophical masterpiece",9780141043685,108
300.72,"Michael Crotty","Foundations of Social Research: Meaning and Perspective in the Research Process",,9780761961062,152
300.722,"Robert K. Yin","Case Study Research","Design and Methods",9781483322247,0
301,"Anthony Giddens",Sociology,,9780745633794,190
302.23,"Alain de Botton","The news","a user's manual",9780241972694,0
302.309,"Niall Ferguson","The Square and the Tower","Networks and Power, from the Freemasons to Facebook",9780735222915,160
302.4,"Matthew O. Jackson","Social and Economic Networks",,9780691148205,178
303.4,"Toffler Alvin","Third Wave",,9780553226355,0
303.4,"Mikael Krogerus","The change book","Fifty models to explain how things happen",9781781250099,118
303.48/25493049,,"400 years of Dutch-Sri Lanka relations, 1602-2002",,9789558708132,0
303.48/33,"Carsten Srensen","Enterprise Mobility","Tiny Technology With Global Impact on Work",9780230236073,161
303.48/33,"Cass R. Sunstein",#Republic,"divided democracy in the age of social media",9780691175515,0
303.482,"Jagdish Bhagwati","In Defense of Globalization: With a New Afterword",,9780195330939,154
303.4833,"Yochai Benkler","The Wealth of Networks: How Social Production Transforms Markets and Freedom","how social production transforms markets and freedom",9780300110562,160
303.4833,"Lawrence Lessig",Code,"Version 2.0",9780465039142,156
303.4833,"William Poundstone","Head in the Cloud","The Power of Knowledge in the Age of Google",9781786070135,0
303.483309,"James Gleick","The Information","a history, a theory, a flood",9780007225743,127
303.4834,"Jonathan L. Zittrain","The Future of the Internet","And How to Stop It",9781846140143,152
305.5122095493,"Asiff Hussein","Caste in Sri Lanka","from ancient times to the present day",9789550028351,0
306.3,"Jeffrey Sachs","The price of civilization","Economics and Ethics After the Fall",9780099535768,134
306.3,"Shoshana Zuboff","The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power","The Fight for a Human Future at the New Frontier of Power",9781610395694,165
306.8722,"J.A. Hazeley | J.P. Morris","'How it works' The Husband",,9780718183561,114
320.01,"Jonathan Wolff","An Introduction to Political Philosophy (OPUS)",,9780192892515,130
320.5310973,"Bhaskar Sunkara","Socialist Manifesto Case for Radical",,9781786636942,22
320.5493,"Eric Meyer","Sri Lanka, biography of an island","between local & global",9789558736029,0
320.95493,"Kingsley Muthumuni De Silva","Sri Lanka Come Wind Come Weather","a political history of Sri Lanka since independence in narrative form",9789555801737,0
323.623,Uscis,"Learn About the United States",,9780160933349,0
323.6509,"U.S. Citizenship And Immigration Services","The citizen's almanac","fundamental documents, symbols, and anthems of the United States.",9780160922633,0
325.3,"Jean-Paul Sartre","Colonialism and Neocolonialism (Routledge Classics)",,9780415378468,128
327,"Henry Kissinger","World Order","Reflections on the Character of Nations and the Course of History",9780241004265,0
327.5405493,"J.N. Dixit","Assignment Colombo",,,0
327.5493054,"J.N. Dixit","Assignment Colombo","through the prism of Indo-Pak relations",9788122004991,0
327.73,"Niall Ferguson",Colossus,"The Rise and Fall of the American Empire",9780143034797,137
330,"James Beniger","The Control Revolution: Technological and Economic Origins of the Information Society",,9780674169869,0
330,"R.H. Coase","Essays on Economics and Economists",,9780226111032,132
330,"Kate Raworth","Doughnut Economics","Seven Ways to Think Like a 21st century Economist",9781603586740,165
330.01/9,"Richard M. Bookstaber","The End of Theory","financial crises, the failure of economics, and the sweep of human interaction",9780691169019,0
330.09,"Niall Ferguson","The Ascent of Money","a Financial History of the World",9780143116172,137
330.122,"Thomas Frank","One Market Under God","Extreme Capitalism, Market Populism, and the End of Economic Democracy",9780385495035,147
330.122,"Portes Jonathan",Capitalism,"50 ideas you really need to know",9781784296094,0
330.153,"Adam Smith","An Inquiry into the Nature and Causes of the Wealth of Nations",,9780226763743,132
330.156,"John Maynard Keynes","The General Theory Of Employment, Interest, And Money",,9781494854744,0
330.9,"Abhijit Vinayak Banerjee","Good Economics for Hard Times",,9789353450700,140
331.2,"Stephen R. Barley","Gurus, Hired Guns, and Warm Bodies: Itinerant Experts in a Knowledge Economy",,9780691127958,0
332,"Central Bank of Sri Lanka","Annual Report 2019",,9789555753968,0
332,"Ajith Nivard Cabraal","The great bond scam cover-up","the mother of all cover-ups",9786249579002,0
332,"John Kay","Other People's Money","Masters of the Universe or Servants of the People?",9781781254455,0
332.0285/63,"Schulte Paul","AI & quantum computing for finance & insurance","fortunes and challenges for China and America",9789811209185,0
332.1068,"Wandhöfer, Ruth,","Transaction banking and the impact of regulatory change","Basel III and other challenges for the global economy",9781137351760,0
332.1092,"Jean Strouse",MORGAN,"AMERICAN FINANCIER",9780812987041,0
332.1095493,"Ranee Jayamaha","The Money Pipeline","A Pillar of Financial Stability",9789554175600,0
332.63/2220973,"Robert J. Shiller","Irrational Exuberance","Revised and expanded third edition",9780691166261,163
332.673,"Aidan Manktelow","Guide to emerging markets","the business outlook, opportunities and obstacles",9781610393874,0
332/.041,"Thomas Piketty","Capital In The Twenty-First Century",,9780674430006,165
335.422,"Karl Marx | Friedrich Engels","The Communist Manifesto (Penguin Classics)",,9780140447576,127
335.83,"Noam Chomsky","On Anarchism",,9780241969601,111
336,"Institute of Policy Studies of Sri Lanka","Sri Lanka - State of the Economy 2022",,9789557397283,0
337,"Joseph Eugene Stiglitz","Making Globalization Work: The Next Steps to Global Justice",,9780141024967,128
338,"Pete Dyson","Transport for Humans",,9781913019358,17
338.092,"Desmond Shum","Red Roulette: An Insider's Story of Wealth, Power, Corruption and Vengeance in Today's China",,9781398509900,24
338.5,"Jonathan Haskel","Capitalism without capital","The Rise of the Intangible Economy",9780691175034,165
338.5,"Joseph Eugene Stiglitz","Principles of microeconomics",,9780393969290,255
338.5/024/658,"J.G. Nellis | David Parker","Principles Of Business Economics",,9780273646099,171
338.9,"Matt Ridley","How Innovation Works","Serendipity, Energy and the Saving of Time",9780008334819,159
338.91,"William Russell Easterly","The tyranny of experts",,9780465089734,0
338.9100,"F.A. Hayek","The Road To Serfdom",,9780415253895,128
338.911713,"William Russell Easterly","The White Man's Burden",,9780199226115,154
338.941,"Robert Baldwin","Understanding Regulation: Theory, Strategy and Practice",,9780198774389,155
338/.06,"Shoshana Zuboff","In the age of the smart machine","the future of work and power",9780465032129,157
"340 ","WD Gamage","Conveyancing and Office of Notary",,9559648209,0
340.1,"Baron Dennis Lloyd Lloyd of Hampstead","The idea of law",,9780140206883,127
345.76602523,"John Grisham","The Innocent Man",,9780440296645,150
346.7306,"Jennifer Reuting","Limited liability companies for dummies, 3rd edition",,9781118852989,0
346.7307,"Constance E. Bagley | Craig E. Dauchy","The Entrepreneur's Guide to Business Law",,9780538466462,0
347,"Mary Cecelia Lacity","The rise of legal services outsourcing","risk and opportunity",9781472906397,0
349.4203,"Jonathan Law","A dictionary of law",,9780198802525,130
352.230922,"Dominic Lieven","In the Shadow of the Gods",,9780241284421,46
363,"Brett Frischmann",Infrastructure,"The Social Value of Shared Resources",9780199975501,0
368,"Robert J. Shiller","The New Financial Order","Risk in the 21st Century",9780691091723,168
370.973,"Ken Robinson | Lou Aronica","Creative Schools: The Grassroots Revolution Thatâ€™s Transforming Education","The Grassroots Revolution That's Transforming Education",9780143108061,134
382.1042,"Michael E. Porter","On Competition, Updated and Expanded Edition",,9781422126967,168
384.33,Mcknight,"Internet Economics",,9780262133364,0
385.095493,"K.A.D. Nandasena","Ceylon railway heritage",,9789550093137,0
388.4209421,"Oliver Green","London’s Underground","The Story of the Tube",9780711240131,293
395.22,"Co.Uk Confetti","The Groom's Speech and Duties (Confetti)",,9780600616429,156
410.285,"Daniel Jurafsky | James H. Martin","Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics and Speech Recognition (Prentice Hall Series in Artificial Intelligence)",,9780130950697,178
420.9,"Philip Gooden","The Story of English",,9780857383280,127
423,"Oxford Dictionaries","Oxford Concise English Dictionary",,9780199695201,254
423.1,"Rosalind Fergusson","The Penguin Rhyming Dictionary (Penguin Reference)",,9780140511369,128
423.12,"Oxford Dictionaries","Oxford mini thesaurus",,9780199666140,82
423.9148,"Sirisena Maitipe","Gunasena English-Sinhala Dictionary",,9789552108181,0
428.003,"R. Burchfield","Fowler's Modern English Usage, Rev 3 Ed",,9780195676990,0
453.2100,"Oxford Dictionaries","Pocket Oxford Italian Dictionary",,9780199576166,0
490,"James Gayer | S Suseendiraraja | WS Karunatilaka","Vyavahara Demala Bhasha Praveshaya",,9789558488096,0
490,"Pī Heṭṭihēvā","Sarasavi Siṃhala-Siṃhala śabdakōṣaya",,9789556710960,0
490,"ND Peiris","Demala 1",,9552111307,0
490,"S Suseendiraraja | S Thilleinadan | Abeysinghe Jayakodi","Katana Demala Basa",,9789559180081,0
491.483,"J.B. Disanayaka","Encyclopaedia of Sinhala language and culture",,9789550335879,0
"494 ","Es. Abliv","Saṃskr̥tika Demiḷa-Siṃhala akārādiya",,9789552092312,0
494.8115,"Seggy Sagaran | Jane Sagaran","Tamil for Travellers",,9789551723385,0
500,,"Natural Resources of Sri Lanka",,,0
500,"Stephen Wolfram","A New Kind of Science",,9781579550257,56
501,"David Deutsch","The beginning of infinity :","explanations that transform the world",9780140278163,129
501,"Judea Mackenzie Pearl | Dana Mackenzie","The Book of Why","The New Science of Cause and Effect",9780141982410,129
501,"Herbert A. Simon","Sciences of the Artificial",,9780262690232,0
501.8000,"Karl Popper","The Logic of Scientific Discovery (Routledge Classics)",,9780415278447,130
510,"Alex Bellos","Alexs Adventures In Numberland",,9781526623997,25
510,"Jordan Ellenberg","How Not To Be Wrong","The Hidden Maths of Everyday Life",9780718196042,0
510,"Thomas Povey","Professor Povey's Perplexing Problems","Pre-University Physics and Maths Puzzles with Solutions",9781780747750,0
510,"Ian Stewart","Visions of Infinity","The Great Mathematical Problems",9780465064892,140
514.2,Mazur,"Fluke: The Maths And Myths Of Coincidences",,9781780749006,0
519,"John Haigh","Probability: A Very Short Introduction","(Very Short Introductions)",9780199588480,109
519.2,"A.N. Kolmogorov","Foundations of the theory of probability","Second English Edition",9780486821597,8
519.2,"Y.A. Rozanov","Probability Theory","A Concise Course",9780486635446,143
519.5,"David Spiegelhalter","The Art of Statistics: How to Learn from Data","How to Learn from Data",9781541675704,29
519.6,"Stephen Boyd | Lieven Vandenberghe","Convex Optimization",,9780521833783,188
523.1,"Michio Kaku","Parallel Worlds","A Journey Through Creation, Higher Dimensions, And the Future of the Cosmos",9781400033720,129
530,"Richard P. Feynman",QED,"The Strange Theory of Light and Matter (Penguin Press Science)",9780140125054,122
530,"Richard P. Feynman | Robert B. Leighton | Matthew Sands","Six Easy Pieces","essentials of physics explained by its most brilliant teacher",9780465025275,140
530.092,"Arthur Stanley Eddington","The Nature of the Physical World",,9781163199688,0
530.1,"Bertrand Russell","The Analysis of Matter",,9781614277217,24
530.11,"Albert Einstein",Relativity,,9780415091046,0
530.11,"Carlo Rovelli","General Relativity: The Essentials","the essentials",9781009013697,10
530.1109041,"Matthew Stanley","Einstein's War",,9780241376577,0
530.12,"Andrew Whitaker","Einstein, Bohr and the Quantum Dilemma","From Quantum Theory to Quantum Information",9780521671026,174
530.143,"Carlo Rovelli","Reality Is Not What It Seems","The Journey to Quantum Gravity",9780735213937,0
612.8028,"Nicholas Carr","The Shallows","What the Internet Is Doing to Our Brains",9780393339758,142
612.82,"Jeff Hawkins | Sandra Blakeslee","On Intelligence",,9780805074567,155
612.82,"John Medina","Brain Rules for Aging Well","10 Principles for Staying Vital, Happy, and Sharp",9780996032674,28
